ID,Title,Original title,Popularity,Overview,Keywords,Genres,Collection,Original Language,Spoken Languages,Production Companies,Production Countries,Director,Release date,Runtime,Status,Tagline,Homepage,imdb_id,Budget,Revenue,Release year
2515,The Equalizer,The Equalizer,17.618057,"In The Equalizer, Denzel Washington plays McCall, a man who believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when McCall meets Teri (Chlo√´ Grace Moretz), a young girl under the control of ultra-violent Russian gangsters, he can‚Äôt stand idly by ‚Äì he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.","corruption, assassin, hostage, fbi, hitman, russian, security camera, sadism, vigilante, sociopath, revenge, suspense, organized crime, gore, gangster, violence, teenage prostitute, commando, interrogation, surveillance, ex soldier, faked death, loner, call girl, black ops, hand to hand combat, mysterious past",Thriller,Missing,en,English,"Columbia Pictures, Village Roadshow Pictures, Escape Artists, Mace Neufeld Productions, LStar Capital, Lonetree Entertainment",United States of America,Antoine Fuqua,9/24/14,132,Released,What do you see when you look at me?,Missing,tt0455944,55000000,192330738,2014
2516,Clouds of Sils Maria,Clouds of Sils Maria,8.151346,A veteran actress comes face-to-face with an uncomfortable reflection of herself when she agrees to take part in a revival of the play that launched her career 20 years earlier.,"suicide, mountain, aging, divorce, gender ideals, actress",Drama,Missing,en,"Deutsch, English, Français","Pallas Film, CAB Productions, C.G. Cinema","Germany, France, Switzerland",Olivier Assayas,8/20/14,124,Released,Missing,Missing,tt2452254,6600000,1851517,2014
2517,Their Finest,Their Finest,17.958512,A British film crew attempts to boost morale during World War II by making a propaganda film after the Blitzkrieg.,"based on novel, world war ii, britain, war propaganda, woman director",Romance,Missing,en,English,"BBC Films, HanWay Films, Film i Väst, Number 9 Films, Filmgate Films, Ripken Productions, Pinewood Pictures, Wildgaze",United Kingdom,Lone Scherfig,4/6/17,117,Released,In the fight for freedom everyone played a part.,Missing,tt1661275,32745300,12173470,2017
2518,Asterix at the Olympic Games,Astérix aux Jeux Olympiques,9.671944,"Ast√©rix and Ob√©lix have to win the Olympic Games in order to help their friend Alafolix marry Princess Irina (portrayed by supermodel Vanessa Hessler). Brutus (Beno√Æt Poelvoorde) uses every trick in the book to have his own team win the game, and get rid of his father Julius Caesar (Alain Delon) in the process.","competition, greece, colosseum, olympic games, emperor, magic, horse, roman, wild boar, governance, galier",Fantasy,Asterix and Obelix Collection,fr,"Français, Português","Constantin Film, TF1 Films Productions, Pathé Renn Productions, La Petite Reine, Tri Pictures, Sorolla Films, Novo RPI, Canal+, uFilm, Canal+ España, Le Tax Shelter du Gouvernement Fédéral de Belgique, Les Editions Albert René","Belgium, France, Germany, Italy, Spain","Thomas Langmann, Fr√©d√©ric Forestier",1/13/08,116,Released,Missing,http://www.asterixauxjeuxolympiques.com/index.php,tt0463872,97250400,132900000,2008
2519,You Don't Mess with the Zohan,You Don't Mess with the Zohan,13.116461,An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist. Zohan's desire runs so deep that he'll do anything -- including faking his own death and going head-to-head with an Arab cab driver -- to make his dreams come true.,"new york, israel, middle east, hairdresser, ladykiller, mossad, israeli, palestinian, heart-throb, middle east conflict, hairstyle, hacky sack",Comedy,Missing,en,"English, עִבְרִית","Columbia Pictures, Happy Madison Productions, Sony Pictures Releasing, Relativity Media",United States of America,,6/5/08,113,Released,Lather. Rinse. Save the world.,http://www.youdontmesswiththezohan.com/,tt0960144,90000000,201596308,2008
2520,Heavy Traffic,Heavy Traffic,0.820911,"An ""underground"" cartoonist contends with life in the inner city, where various unsavory characters serve as inspiration for his artwork.","female nudity, sex, sexual frustration, virgin, urban life, surrealism, part live action, interracial relationship, gore, pinball, marijuana, sexual attraction, sexual joke, cartoon sex, blood, black american, loss of virginity, extreme violence, adult animation",Animation,Missing,en,"English, Italiano, ","Steve Krantz Productions, Cine Camera",United States of America,Ralph Bakshi,8/8/73,76,Released,More Spice from the makers of Fritz the Cat!,Missing,tt0070165,950000,1500000,1973
2521,King Kong,King Kong,5.810716,"In this remake of the 1933 classic about the giant ape, an oil company expedition disturbs the peace of Kong and brings him back to New York to exploit him. Even though a woman somewhat tames Kong, he finally breaks loose and terrorizes the city, and as the military attempt to stop him, he falls to his death from the top of the World Trade Center.","indigenous, island, science fiction, king kong, giant animal, giant ape",Adventure,King Kong (1976 series),en,English,"Paramount Pictures, Dino De Laurentiis Company",United States of America,John Guillermin,9/8/76,134,Released,The most exciting original motion picture event of all time.,Missing,tt0074751,23000000,90614445,1976
2522,Always,Always,5.443097,"Pete Sandich is a reckless fire-fighting pilot who is killed in what was to have been his final mission. Ascending to Heaven, Pete is introduced to business-like angel who instructs the spectral Pete to pass on his aviation knowledge to his young successor. While doing so, Pete also smoothes the course of romance for his earthly girlfriend who, after several months of grieving, finally falls in love with another man.","firemen, pilot, airplane, ghost, guardian angel",Fantasy,Missing,en,English,"Universal Pictures, Amblin Entertainment, United Artists",United States of America,Steven Spielberg,12/22/89,122,Released,They couldn't hear him. They couldn't see him. But he was there when they needed him... Even after he was gone.,Missing,tt0096794,31000000,74134790,1989
2523,Evil Dead II,Evil Dead II,13.520764,Ash Williams and his girlfriend Linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from ‚ÄúThe Book of the Dead.‚Äù As they play the recording an evil power is unleashed taking over Linda‚Äôs body.,"deer, blood splatter, tape recorder, chainsaw, spirit, violence, over the top, shot in the arm, book of the dead, evil dead, eyeball, necronomicon, tarmac, meat cleaver, shot through a wall",Horror,Evil Dead Collection,en,English,"Renaissance Films, Rosebud Productions",United States of America,Sam Raimi,3/13/87,84,Released,The Sequel To The Ultimate Experience In Grueling Terror,Missing,tt0092991,3600000,5923044,1987
2524,The Keep,The Keep,3.554491,Nazis take over an ancient fortress that contains a mysterious entity that wreaks havoc and death upon them.,"nazis, electronic music score, demon, ss",Horror,Missing,en,English,"Paramount Pictures, Associated Capital, Capital Equipment Leasing",United Kingdom,Michael Mann,12/16/83,96,Released,"THEY WERE ALL DRAWN TO THE KEEP. The soldiers who brought death. The father and daughter fighting for life. The people who have always feared it. And the one man who knows its secret... THE KEEP Tonight, they will all face the evil.",Missing,tt0085780,6000000,3661757,1983
2525,Sex and Zen,Yu pu tuan zhi: Tou qing bao jian,1.824275,"A recently married scholar goes on a quest for knowledge of other people's wives, based on his philosophical differences with the Sack Monk. He encounters the Flying Thief, who agrees to help him find women, but only if he attains a penis as big as a horse's. The scholar has a surgeon attach said unit, and he's off and running on his mission, only to find that there are obstacles to his new lifestyle, such as jealous husbands and treacherous females.",Missing,Drama,Sex and Zen Collection,cn,广州话 / 廣州話,Golden Harvest Company,Hong Kong,Michael Mak,11/30/91,99,Released,Banned for 400 years! The most notorious of China's three great erotic sagas – revealed on the screen for the first time.,Missing,tt0105287,0,396003,1991
2526,Solaris,Solaris,10.642824,"Upon arrival at the space station orbiting an ocean world called Solaris a psychologist discovers that the commander of an expedition to the planet has died mysteriously. Other strange events soon start happening as well, such as the appearance of old acquaintances of the crew, including some who are dead.","clone, loss of sense of reality, hallucination, space travel, grief, space, psychologist, outer space, astronaut, loss of loved one, space station, unusual phenomena",Drama,Missing,en,English,"Twentieth Century Fox Film Corporation, Lightstorm Entertainment",United States of America,Steven Soderbergh,11/27/02,99,Released,How far will you go for a second chance?,Missing,tt0307479,47000000,30002758,2002
2527,The Outsiders,The Outsiders,6.435926,"When two poor greasers, Johnny, and Ponyboy are assaulted by a vicious gang, the socs, and Johnny kills one of the attackers, tension begins to mount between the two rival gangs, setting off a turbulent chain of events.","street gang, children's home, coming of age, gang, juvenile delinquent, based on young adult novel",Crime,Missing,en,English,"American Zoetrope, Warner Bros.",United States of America,Francis Ford Coppola,3/25/83,91,Released,They grew up on the outside of society. They weren't looking for a fight. They were looking to belong.,Missing,tt0086066,10000000,33697647,1983
2528,Boyhood,Boyhood,6.430591,"The film tells a story of a divorced couple trying to raise their young son. The story follows the boy for twelve years, from first grade at age 6 through 12th grade at age 17-18, and examines his relationship with his parents as he grows.","daily life, family's daily life, urban life, growing up, domestic abuse, coming of age, parenting, divorce, family, divorced parents, abusive husband",Drama,Missing,en,"Español, English","IFC Films, Detour Filmproduction",United States of America,Richard Linklater,6/5/14,164,Released,12 years in the making.,Missing,tt1065073,4000000,44349000,2014
